incident_id,nature,area,agency,reported_dt_raw,address,reported_dt,year,month,day,hour,dow,nature_grp,lat,lon
21-P07673,TRAFFIC OFFENSE,PD8,PPD,18:31:32 04/15/21,"230 PARK AVE, Pocatello, ID 83201",2021-04-15 18:31:32,2021,4,15,18,3,TRAFFIC,42.8793432,-112.443969
21-P07669,FOUND PROPERTY,PD8,PPD,16:51:58 04/15/21,"711 JEFFERSON AVE, Pocatello, ID 83201",2021-04-15 16:51:58,2021,4,15,16,3,OTHER,42.8880204,-112.4417016
21-P07481,ABANDONED VEHIC,PD8,PPD,11:31:44 04/13/21,"140 WASHINGTON AVE, Pocatello, ID 83201",2021-04-13 11:31:44,2021,4,13,11,1,TRAFFIC,42.8776976,-112.4464503
21-P07474,ABANDONED VEHIC,PD8,PPD,10:47:14 04/13/21,"613 RANDOLPH AVE, Pocatello, ID 83201",2021-04-13 10:47:14,2021,4,13,10,1,TRAFFIC,42.8862879,-112.442915
21-P07439,ANIMAL PROBLEM,PD8,PPD,19:00:51 04/12/21,"105 JEFFERSON AVE, Pocatello, ID 83201",2021-04-12 19:00:51,2021,4,12,19,0,OTHER,42.8771092,-112.4417667
21-P07431,ASSAULT,PD8,PPD,17:29:06 04/12/21,"177 PARK AVE, Pocatello, ID 83201",2021-04-12 17:29:06,2021,4,12,17,0,VIOLENT,42.8782625,-112.4442036
21-P07515,MISSING PERSON,PD8,PPD,17:31:12 04/13/21,"888 E PINE ST, Pocatello, ID 83201",2021-04-13 17:31:12,2021,4,13,17,1,SERVICE,42.8842511,-112.4418776
21-P09851,ACCIDENT,PD8,PPD,19:25:54 05/12/21,"105 JEFFERSON AVE, Pocatello, ID 83201",2021-05-12 19:25:54,2021,5,12,19,2,OTHER,42.8771092,-112.4417667
21-P01358,SUSPICIOUS,PD8,PPD,14:23:42 01/21/21,"166 WASHINGTON AVE, Pocatello, ID 83201",2021-01-21 14:23:42,2021,1,21,14,3,OTHER,42.8781147,-112.4464441
21-P02473,FRAUD,PD8,PPD,12:06:48 02/05/21,"453 E ELM ST, Pocatello, ID 83201",2021-02-05 12:06:48,2021,2,5,12,4,OTHER,42.8786719,-112.4468453
21-P00033,SUSPICIOUS,PD8,PPD,10:23:57 01/01/21,"463 JEFFERSON AVE, Pocatello, ID 83201",2021-01-01 10:23:57,2021,1,1,10,4,OTHER,42.8834705,-112.4417276
21-P00059,WELFARE CHECK,PD8,PPD,23:28:12 01/01/21,"608 WILLARD AVE, Pocatello, ID 83201",2021-01-01 23:28:12,2021,1,1,23,4,SERVICE,42.8862441,-112.4476152
21-P00066,WANTED PERSON,PD8,PPD,00:43:28 01/02/21,"593 WILLARD AVE, Pocatello, ID 83201",2021-01-02 00:43:28,2021,1,2,0,5,OTHER,42.8857783,-112.4478464
21-P00074,THEFT,PD8,PPD,03:11:03 01/02/21,"227 PARK AVE, Pocatello, ID 83201",2021-01-02 03:11:03,2021,1,2,3,5,PROPERTY,42.879279,-112.4441936
21-P00163,WEAPONS OFFENSE,PD8,PPD,18:35:14 01/03/21,"594 RANDOLPH AVE, Pocatello, ID 83201",2021-01-03 18:35:14,2021,1,3,18,6,VIOLENT,42.8857872,-112.4426915
21-P00167,RUNAWAY JUVENIL,PD8,PPD,19:14:46 01/03/21,"409 E MAPLE ST, Pocatello, ID 83201",2021-01-03 19:14:46,2021,1,3,19,6,OTHER,42.8804802,-112.4475727
21-P00199,VEHICLE BURGLAR,PD8,PPD,09:15:24 01/04/21,"235 RANDOLPH AVE, Pocatello, ID 83201",2021-01-04 09:15:24,2021,1,4,9,0,OTHER,42.8794045,-112.442984
21-P00217,DRUG VIOLATION,PD8,PPD,14:57:56 01/04/21,"160 PARK AVE, Pocatello, ID 83201",2021-01-04 14:57:56,2021,1,4,14,0,OTHER,42.878008,-112.4439776
21-P00224,ALARM,PD8,PPD,16:26:07 01/04/21,"675 JEFFERSON AVE, Pocatello, ID 83201",2021-01-04 16:26:07,2021,1,4,16,0,OTHER,42.8872604,-112.4417063
21-P00230,ASSAULT,PD8,PPD,17:54:54 01/04/21,"585 WASHINGTON AVE, Pocatello, ID 83201",2021-01-04 17:54:54,2021,1,4,17,0,VIOLENT,42.8856444,-112.4466085
21-P00246,SUSPICIOUS,PD8,PPD,23:15:55 01/04/21,"249 JEFFERSON AVE, Pocatello, ID 83201",2021-01-04 23:15:55,2021,1,4,23,0,OTHER,42.8796291,-112.4417474
21-P00264,ANIMAL PROBLEM,PD8,PPD,08:59:50 01/05/21,"105 JEFFERSON AVE, Pocatello, ID 83201",2021-01-05 08:59:50,2021,1,5,8,1,OTHER,42.8771092,-112.4417667
21-P00306,PARKING PROBLEM,PD8,PPD,15:58:52 01/05/21,"125 RANDOLPH, Pocatello, ID 83201",2021-01-05 15:58:52,2021,1,5,15,1,OTHER,42.8774318,-112.4429819
21-P00346,DISTURBANCE,PD8,PPD,12:19:27 01/06/21,"471 PARK AVE, Pocatello, ID 83201",2021-01-06 12:19:27,2021,1,6,12,2,DISORDER,42.8835897,-112.4441676
21-P00349,ANIMAL PROBLEM,PD8,PPD,12:11:40 01/06/21,"WILLARD & POPLAR, Pocatello, ID 83201",2021-01-06 12:11:40,2021,1,6,12,2,OTHER,,
21-P00374,CHILD PROTECTIO,PD8,PPD,17:12:50 01/06/21,"373 WARREN AVE, Pocatello, ID 83201",2021-01-06 17:12:50,2021,1,6,17,2,OTHER,42.8818342,-112.4490941
21-P00393,SUSPICIOUS,PD8,PPD,07:45:39 01/07/21,"506 WARREN AVE, Pocatello, ID 83201",2021-01-07 07:45:39,2021,1,7,7,3,OTHER,42.8844051,-112.4488568
21-P00411,BURGLARY,PD8,PPD,11:25:49 01/07/21,"197 RANDOLPH AVE, Pocatello, ID 83201",2021-01-07 11:25:49,2021,1,7,11,3,PROPERTY,42.8785772,-112.4429937
21-P00423,LICENSING,PD8,PPD,13:57:41 01/07/21,"732 WASHINGTON AVE, Pocatello, ID 83201",2021-01-07 13:57:41,2021,1,7,13,3,OTHER,42.8887645,-112.4463599
21-P00465,ABANDONED VEHIC,PD8,PPD,10:37:02 01/08/21,"559 E WALNUT ST, Pocatello, ID 83201",2021-01-08 10:37:02,2021,1,8,10,4,TRAFFIC,42.8822735,-112.4458162
21-P00475,CHILD PROTECTIO,PD8,PPD,13:55:14 01/08/21,"263 WAYNE AVE, Pocatello, ID 83201",2021-01-08 13:55:14,2021,1,8,13,4,OTHER,42.8798656,-112.4454199
21-P00476,VEHICLE BURGLAR,PD8,PPD,13:47:42 01/08/21,"121 WILLARD AVE, Pocatello, ID 83201",2021-01-08 13:47:42,2021,1,8,13,4,OTHER,42.8773906,-112.4479049
21-P00485,ANIMAL PROBLEM,PD8,PPD,16:19:49 01/08/21,"155 WILLARD AVE, Pocatello, ID 83201",2021-01-08 16:19:49,2021,1,8,16,4,OTHER,42.8779304,-112.447898
21-P00535,WELFARE CHECK,PD8,PPD,15:04:14 01/09/21,"227 PARK AVE, Pocatello, ID 83201",2021-01-09 15:04:14,2021,1,9,15,5,SERVICE,42.879279,-112.4441936
21-P00574,WEAPONS OFFENSE,PD8,PPD,22:23:56 01/09/21,"837 WASHINGTON, Pocatello, ID 83201",2021-01-09 22:23:56,2021,1,9,22,5,VIOLENT,42.8902164,-112.4467944
21-P00584,DISTURBANCE,PD8,PPD,02:44:03 01/10/21,"WILLARD & WALNUT, Pocatello, ID 83201",2021-01-10 02:44:03,2021,1,10,2,6,DISORDER,,
21-P00586,WELFARE CHECK,PD8,PPD,03:06:22 01/10/21,"544 WARREN AVE, Pocatello, ID 83201",2021-01-10 03:06:22,2021,1,10,3,6,SERVICE,42.8850077,-112.4488492
21-P00634,SUSPICIOUS,PD8,PPD,22:33:27 01/10/21,"354 E PINE ST, Pocatello, ID 83201",2021-01-10 22:33:27,2021,1,10,22,6,OTHER,42.884269,-112.4481665
21-P00640,DISTURBANCE,PD8,PPD,01:32:45 01/11/21,"634 PERSHING AVE, Pocatello, ID 83201",2021-01-11 01:32:45,2021,1,11,1,0,DISORDER,42.8866213,-112.4500849
21-P00643,THEFT,PD8,PPD,07:41:16 01/11/21,"492 WAYNE AVE, Pocatello, ID 83201",2021-01-11 07:41:16,2021,1,11,7,0,PROPERTY,42.8839634,-112.4451681
21-P00672,FRAUD,PD8,PPD,11:44:00 01/04/21,"861 JEFFERSON AVE, Pocatello, ID 83201",2021-01-04 11:44:00,2021,1,4,11,0,OTHER,42.891568,-112.441683
21-P00677,ANIMAL PROBLEM,PD8,PPD,14:30:03 01/11/21,"685 RANDOLPH AVE, Pocatello, ID 83201",2021-01-11 14:30:03,2021,1,11,14,0,OTHER,42.8874274,-112.4429091
21-P00702,PARKING PROBLEM,PD8,PPD,17:43:32 01/11/21,"220 RANDOLPH AVE, Pocatello, ID 83201",2021-01-11 17:43:32,2021,1,11,17,0,OTHER,42.879177,-112.4427637
21-P00712,WANTED PERSON,PD8,PPD,00:20:27 01/12/21,"720 YELLOWSTONE AVE, Pocatello, ID 83201",2021-01-12 00:20:27,2021,1,12,0,1,OTHER,42.8882315,-112.4515572
21-P00734,FRAUD,PD8,PPD,12:11:23 01/12/21,"105 JEFFERSON AVE, Pocatello, ID 83201",2021-01-12 12:11:23,2021,1,12,12,1,OTHER,42.8771092,-112.4417667
21-P00736,ALARM,PD8,PPD,12:32:34 01/12/21,"197 RANDOLPH AVE, Pocatello, ID 83201",2021-01-12 12:32:34,2021,1,12,12,1,OTHER,42.8785772,-112.4429937
21-P00737,ALARM,PD8,PPD,12:35:43 01/12/21,"197 RANDOLPH AVE, Pocatello, ID 83201",2021-01-12 12:35:43,2021,1,12,12,1,OTHER,42.8785772,-112.4429937
21-P00739,FRAUD,PD8,PPD,12:40:10 01/12/21,"520 WARREN AVE, Pocatello, ID 83201",2021-01-12 12:40:10,2021,1,12,12,1,OTHER,42.8846271,-112.448854
21-P00746,AGENCY ASSIST,PD8,PPD,13:00:06 01/12/21,"WARREN & PINE, Pocatello, ID 83201",2021-01-12 13:00:06,2021,1,12,13,1,OTHER,,
21-P00763,ABANDONED VEHIC,PD8,PPD,16:27:17 01/12/21,"200 E PINE ST, Pocatello, ID 83201",2021-01-12 16:27:17,2021,1,12,16,1,TRAFFIC,42.8841427,-112.4447291
21-P00775,PARKING PROBLEM,PD8,PPD,19:55:35 01/12/21,"342 RANDOLPH AVE, Pocatello, ID 83201",2021-01-12 19:55:35,2021,1,12,19,1,OTHER,42.8813469,-112.4427349
21-P00791,LICENSING,PD8,PPD,07:57:34 01/13/21,"370 WARREN AVE, Pocatello, ID 83201",2021-01-13 07:57:34,2021,1,13,7,2,OTHER,42.881802,-112.4488693
21-P00796,SUSPICIOUS,PD8,PPD,08:44:22 01/13/21,"267 WILLARD AVE, Pocatello, ID 83201",2021-01-13 08:44:22,2021,1,13,8,2,OTHER,42.8799273,-112.447878
21-P00815,ABANDONED VEHIC,PD8,PPD,11:44:38 01/13/21,"560 E OAK ST, Pocatello, ID 83201",2021-01-13 11:44:38,2021,1,13,11,2,TRAFFIC,42.8770162,-112.4455306
21-P00840,ACCIDENT,PD8,PPD,16:30:32 01/13/21,"JEFFERSON & POPLAR, Pocatello, ID 83201",2021-01-13 16:30:32,2021,1,13,16,2,OTHER,,
21-P00862,SUSPICIOUS,PD8,PPD,01:02:34 01/14/21,"166 WASHINGTON AVE, Pocatello, ID 83201",2021-01-14 01:02:34,2021,1,14,1,3,OTHER,42.8781147,-112.4464441
21-P00869,SUSPICIOUS,PD8,PPD,06:49:20 01/14/21,"166 WASHINGTON AVE, Pocatello, ID 83201",2021-01-14 06:49:20,2021,1,14,6,3,OTHER,42.8781147,-112.4464441
21-P00870,ANIMAL PROBLEM,PD8,PPD,08:15:29 01/14/21,"822 WAYNE, Pocatello, ID 83201",2021-01-14 08:15:29,2021,1,14,8,3,OTHER,42.8899783,-112.4451483
21-P00893,WELFARE CHECK,PD8,PPD,13:01:23 01/14/21,"683 WARREN AVE, Pocatello, ID 83201",2021-01-14 13:01:23,2021,1,14,13,3,SERVICE,42.8873984,-112.4490688
21-P00899,ANIMAL PROBLEM,PD8,PPD,14:23:07 01/14/21,"281 WARREN AVE, Pocatello, ID 83201",2021-01-14 14:23:07,2021,1,14,14,3,OTHER,42.8801425,-112.4491077
21-P00940,SUSPICIOUS,PD8,PPD,07:10:22 01/15/21,"166 WASHINGTON AVE, Pocatello, ID 83201",2021-01-15 07:10:22,2021,1,15,7,4,OTHER,42.8781147,-112.4464441
21-P00963,VANDALISM,PD8,PPD,12:16:06 01/15/21,"593 WILLARD AVE, Pocatello, ID 83201",2021-01-15 12:16:06,2021,1,15,12,4,OTHER,42.8857783,-112.4478464
21-P00964,VANDALISM,PD8,PPD,12:17:18 01/15/21,"134 WARREN AVE, Pocatello, ID 83201",2021-01-15 12:17:18,2021,1,15,12,4,OTHER,42.8775737,-112.4489042
21-P00965,VANDALISM,PD8,PPD,12:18:09 01/15/21,"660 WARREN AVE, Pocatello, ID 83201",2021-01-15 12:18:09,2021,1,15,12,4,OTHER,42.8870525,-112.4488446
21-P01006,THEFT,PD8,PPD,20:01:18 01/15/21,"166 WASHINGTON AVE, Pocatello, ID 83201",2021-01-15 20:01:18,2021,1,15,20,4,PROPERTY,42.8781147,-112.4464441
21-P01009,SUSPICIOUS,PD8,PPD,21:32:40 01/15/21,"460 E OAK ST, Pocatello, ID 83201",2021-01-15 21:32:40,2021,1,15,21,4,OTHER,42.8770214,-112.4470388
21-P01045,ANIMAL PROBLEM,PD8,PPD,15:56:01 01/16/21,"293 WARREN AVE, Pocatello, ID 83201",2021-01-16 15:56:01,2021,1,16,15,5,OTHER,42.8803362,-112.4491032
21-P01047,ANIMAL PROBLEM,PD8,PPD,15:52:25 01/16/21,"E POPLAR ST & JEFFERSON AVE, Pocatello, ID 83201",2021-01-16 15:52:25,2021,1,16,15,5,OTHER,,
21-P01116,SUSPICIOUS,PD8,PPD,23:38:51 01/17/21,"166 WASHINGTON AVE, Pocatello, ID 83201",2021-01-17 23:38:51,2021,1,17,23,6,OTHER,42.8781147,-112.4464441
21-P01123,HARASSMENT,PD8,PPD,06:04:28 01/18/21,"544 WARREN AVE, Pocatello, ID 83201",2021-01-18 06:04:28,2021,1,18,6,0,DISORDER,42.8850077,-112.4488492
21-P01163,SUSPICIOUS,PD8,PPD,23:02:00 01/18/21,"RANDOLPH & POPLAR, Pocatello, ID 83201",2021-01-18 23:02:00,2021,1,18,23,0,OTHER,,
21-P01175,CHILD PROTECTIO,PD8,PPD,08:32:55 01/19/21,"285 JEFFERSON AVE, Pocatello, ID 83201",2021-01-19 08:32:55,2021,1,19,8,1,OTHER,42.8802014,-112.4417543
21-P01193,ANIMAL PROBLEM,PD8,PPD,11:54:19 01/19/21,"696 WASHINGTON, Pocatello, ID 83201",2021-01-19 11:54:19,2021,1,19,11,1,OTHER,42.8876187,-112.4463634
21-P01210,ANIMAL PROBLEM,PD8,PPD,16:46:24 01/19/21,"267 WILLARD AVE, Pocatello, ID 83201",2021-01-19 16:46:24,2021,1,19,16,1,OTHER,42.8799273,-112.447878
21-P01215,DRUG VIOLATION,PD8,PPD,17:16:54 01/19/21,"800 WILLARD AVE, Pocatello, ID 83201",2021-01-19 17:16:54,2021,1,19,17,1,OTHER,42.889854,-112.447593
21-P01226,SUSPICIOUS,PD8,PPD,19:25:49 01/19/21,"334 RANDOLPH AVE, Pocatello, ID 83201",2021-01-19 19:25:49,2021,1,19,19,1,OTHER,42.8812198,-112.4427358
21-P01231,HARASSMENT,PD8,PPD,20:27:44 01/19/21,"544 WARREN AVE, Pocatello, ID 83201",2021-01-19 20:27:44,2021,1,19,20,1,DISORDER,42.8850077,-112.4488492
21-P01253,WELFARE CHECK,PD8,PPD,09:31:21 01/20/21,"520 WILLARD AVE, Pocatello, ID 83201",2021-01-20 09:31:21,2021,1,20,9,2,SERVICE,42.8846278,-112.4476266
21-P01314,NOISE COMPLAINT,PD8,PPD,03:31:30 01/21/21,"125 RANDOLPH AVE, Pocatello, ID 83201",2021-01-21 03:31:30,2021,1,21,3,3,DISORDER,42.8774318,-112.4429819
21-P01316,SUSPICIOUS,PD8,PPD,05:04:29 01/21/21,"166 WASHINGTON AVE, Pocatello, ID 83201",2021-01-21 05:04:29,2021,1,21,5,3,OTHER,42.8781147,-112.4464441
21-P01319,DISTURBANCE,PD8,PPD,08:18:12 01/21/21,"292 RANDOLPH AVE, Pocatello, ID 83201",2021-01-21 08:18:12,2021,1,21,8,3,DISORDER,42.8803364,-112.4427446
21-P01397,SUSPICIOUS,PD8,PPD,03:00:03 01/22/21,"166 WASHINGTON AVE, Pocatello, ID 83201",2021-01-22 03:00:03,2021,1,22,3,4,OTHER,42.8781147,-112.4464441
21-P01440,LICENSING,PD8,PPD,15:52:37 01/22/21,"636 PERSHING AVE, Pocatello, ID 83201",2021-01-22 15:52:37,2021,1,22,15,4,OTHER,42.8866532,-112.4500853
21-P01461,ORDINANCE VIOL,PD8,PPD,13:50:47 01/22/21,"134 WARREN AVE, Pocatello, ID 83201",2021-01-22 13:50:47,2021,1,22,13,4,OTHER,42.8775737,-112.4489042
21-P01478,SUSPICIOUS,PD8,PPD,09:03:52 01/23/21,"166 WASHINGTON AVE, Pocatello, ID 83201",2021-01-23 09:03:52,2021,1,23,9,5,OTHER,42.8781147,-112.4464441
21-P01513,SUSPICIOUS,PD8,PPD,17:34:14 01/23/21,"166 WASHINGTON AVE, Pocatello, ID 83201",2021-01-23 17:34:14,2021,1,23,17,5,OTHER,42.8781147,-112.4464441
21-P01516,DUI,PD8,PPD,19:30:53 01/23/21,"E CEDAR ST & RANDOLPH AVE, Pocatello, ID 83201",2021-01-23 19:30:53,2021,1,23,19,5,TRAFFIC,,
21-P01527,STOLEN VEHICLE,PD8,PPD,22:39:33 01/23/21,"147 JEFFERSON AVE, Pocatello, ID 83201",2021-01-23 22:39:33,2021,1,23,22,5,OTHER,42.8777838,-112.4417633
21-P01530,AGENCY ASSIST,PD8,PPD,23:48:34 01/23/21,"WALNUT & WARREN, Pocatello, ID 83201",2021-01-23 23:48:34,2021,1,23,23,5,OTHER,,
21-P01551,DISTURBANCE,PD8,PPD,14:17:40 01/24/21,"253 E PINE ST, Pocatello, ID 83201",2021-01-24 14:17:40,2021,1,24,14,6,DISORDER,42.8841035,-112.4492883
21-P01567,DISTURBANCE,PD8,PPD,18:58:13 01/24/21,"544 WARREN AVE, Pocatello, ID 83201",2021-01-24 18:58:13,2021,1,24,18,6,DISORDER,42.8850077,-112.4488492
21-P01570,ALARM,PD8,PPD,19:58:15 01/24/21,"620 PERSHING AVE, Pocatello, ID 83201",2021-01-24 19:58:15,2021,1,24,19,6,OTHER,42.886398,-112.4500821
21-P01571,ANIMAL PROBLEM,PD8,PPD,20:14:38 01/24/21,"552 WARREN AVE, Pocatello, ID 83201",2021-01-24 20:14:38,2021,1,24,20,6,OTHER,42.8851346,-112.4488476
21-P01573,SUSPICIOUS,PD8,PPD,20:39:44 01/24/21,"760 YELLOWSTONE AVE, Pocatello, ID 83201",2021-01-24 20:39:44,2021,1,24,20,6,OTHER,42.8889167,-112.451551
21-P01575,DISTURBANCE,PD8,PPD,21:59:21 01/24/21,"745 E PINE ST, Pocatello, ID 83201",2021-01-24 21:59:21,2021,1,24,21,6,DISORDER,42.884076,-112.4434805
21-P01594,AGENCY ASSIST,PD8,PPD,10:17:25 01/25/21,"836 E POPLAR ST, Pocatello, ID 83201",2021-01-25 10:17:25,2021,1,25,10,0,OTHER,42.8860637,-112.4423149
21-P01599,ABANDONED VEHIC,PD8,PPD,11:09:14 01/25/21,"469 E CEDAR ST, Pocatello, ID 83201",2021-01-25 11:09:14,2021,1,25,11,0,TRAFFIC,42.887692,-112.4467426
21-P01609,CODE ENFORCE,PD8,PPD,00:00:00 01/25/21,"597 JEFFERSON AVE, Pocatello, ID 83201",2021-01-25 00:00:00,2021,1,25,0,0,OTHER,42.8858075,-112.441707
21-P01610,CODE ENFORCE,PD8,PPD,00:00:00 01/25/21,"285 PARK AVE, Pocatello, ID 83201",2021-01-25 00:00:00,2021,1,25,0,0,OTHER,42.8802159,-112.4441888
21-P01653,SUSPICIOUS,PD8,PPD,01:02:39 01/26/21,"166 WASHINGTON AVE, Pocatello, ID 83201",2021-01-26 01:02:39,2021,1,26,1,1,OTHER,42.8781147,-112.4464441
21-P01695,INFORMATION,PD8,PPD,12:30:58 01/26/21,"284 WAYNE AVE, Pocatello, ID 83201",2021-01-26 12:30:58,2021,1,26,12,1,OTHER,42.8802193,-112.4451923
21-P01736,DISTURBANCE,PD8,PPD,22:29:49 01/26/21,"166 WASHINGTON AVE, Pocatello, ID 83201",2021-01-26 22:29:49,2021,1,26,22,1,DISORDER,42.8781147,-112.4464441
21-P01741,SUSPICIOUS,PD8,PPD,00:11:47 01/27/21,"762 WILLARD AVE, Pocatello, ID 83201",2021-01-27 00:11:47,2021,1,27,0,2,OTHER,42.8893034,-112.4475957
21-P01742,SUSPICIOUS,PD8,PPD,01:10:04 01/27/21,"166 WASHINGTON AVE, Pocatello, ID 83201",2021-01-27 01:10:04,2021,1,27,1,2,OTHER,42.8781147,-112.4464441
21-P01813,WELFARE CHECK,PD8,PPD,19:48:20 01/27/21,"166 WASHINGTON AVE, Pocatello, ID 83201",2021-01-27 19:48:20,2021,1,27,19,2,SERVICE,42.8781147,-112.4464441
21-P01822,SUSPICIOUS,PD8,PPD,22:30:08 01/27/21,"RANDOLPH AVE & E PINE ST, Pocatello, ID 83201",2021-01-27 22:30:08,2021,1,27,22,2,OTHER,,
21-P01823,WEAPONS OFFENSE,PD8,PPD,22:58:59 01/27/21,"166 WASHINGTON AVE, Pocatello, ID 83201",2021-01-27 22:58:59,2021,1,27,22,2,VIOLENT,42.8781147,-112.4464441
21-P01856,ANIMAL PROBLEM,PD8,PPD,10:19:39 01/28/21,"239 JEFFERSON AVE, Pocatello, ID 83201",2021-01-28 10:19:39,2021,1,28,10,3,OTHER,42.8794701,-112.4417455
21-P01866,SUSPICIOUS,PD8,PPD,12:46:34 01/28/21,"234 PARK AVE, Pocatello, ID 83201",2021-01-28 12:46:34,2021,1,28,12,3,OTHER,42.8794079,-112.4439683
21-P01897,SUSPICIOUS,PD8,PPD,22:27:11 01/28/21,"544 WARREN AVE, Pocatello, ID 83201",2021-01-28 22:27:11,2021,1,28,22,3,OTHER,42.8850077,-112.4488492
21-P01903,SUSPICIOUS,PD8,PPD,01:55:42 01/29/21,"325 WILLARD AVE, Pocatello, ID 83201",2021-01-29 01:55:42,2021,1,29,1,4,OTHER,42.8810651,-112.4478794
21-P01907,STOLEN VEHICLE,PD8,PPD,06:40:44 01/29/21,"620 WARREN AVE, Pocatello, ID 83201",2021-01-29 06:40:44,2021,1,29,6,4,OTHER,42.8864235,-112.4488442
21-P01960,WANTED PERSON,PD8,PPD,19:19:58 01/29/21,"351 RANDOLPH AVE, Pocatello, ID 83201",2021-01-29 19:19:58,2021,1,29,19,4,OTHER,42.8814749,-112.4429579
21-P01963,CHILD PROTECTIO,PD8,PPD,20:00:35 01/29/21,"324 WARREN AVE, Pocatello, ID 83201",2021-01-29 20:00:35,2021,1,29,20,4,OTHER,42.8810626,-112.4488648
21-P01982,PARKING PROBLEM,PD8,PPD,08:26:07 01/30/21,"800 E POPLAR ST, Pocatello, ID 83201",2021-01-30 08:26:07,2021,1,30,8,5,OTHER,42.886059,-112.442639
21-P02054,DOMESTIC ASLT,PD8,PPD,09:44:00 01/31/21,"269 WASHINGTON AVE, Pocatello, ID 83201",2021-01-31 09:44:00,2021,1,31,9,6,VIOLENT,42.8799647,-112.4466564
21-P02063,ANIMAL PROBLEM,PD8,PPD,12:47:33 01/31/21,"203 JEFFERSON AVE, Pocatello, ID 83201",2021-01-31 12:47:33,2021,1,31,12,6,OTHER,42.8788978,-112.4417516
21-P02073,SUSPICIOUS,PD8,PPD,15:02:03 01/31/21,"166 WASHINGTON AVE, Pocatello, ID 83201",2021-01-31 15:02:03,2021,1,31,15,6,OTHER,42.8781147,-112.4464441
21-P02082,SUSPICIOUS,PD8,PPD,17:59:54 01/31/21,"689 WASHINGTON AVE, Pocatello, ID 83201",2021-01-31 17:59:54,2021,1,31,17,6,OTHER,42.8874943,-112.4465879
21-P02111,CHILD PROTECTIO,PD8,PPD,08:09:40 02/01/21,"111 RANDOLPH AVE, Pocatello, ID 83201",2021-02-01 08:09:40,2021,2,1,8,0,OTHER,42.8772091,-112.4429796
21-P02181,HARASSMENT,PD8,PPD,23:08:20 02/01/21,"544 WARREN AVE, Pocatello, ID 83201",2021-02-01 23:08:20,2021,2,1,23,0,DISORDER,42.8850077,-112.4488492
21-P02187,COURT ORDERS,PD8,PPD,01:16:08 02/02/21,"544 WARREN AVE, Pocatello, ID 83201",2021-02-02 01:16:08,2021,2,2,1,1,OTHER,42.8850077,-112.4488492
21-P02192,WANTED PERSON,PD8,PPD,05:15:43 02/02/21,"166 WASHINGTON AVE, Pocatello, ID 83201",2021-02-02 05:15:43,2021,2,2,5,1,OTHER,42.8781147,-112.4464441
